Rank,Name,State,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,University_Name_Clean
11,Metropolitan State University of Denver,Colorado,49400,87200,51,11,Metropolitan State University Denver
12,University of Northern Colorado,Colorado,47700,87100,52,7,University Northern Colorado
13,Fort Lewis College,Colorado,48300,82600,55,19,Fort Lewis College
14,Western State Colorado University,Colorado,44800,81500,47,19,Western State Colorado University
14,Colorado Mesa University,Colorado,47800,81500,55,7,Colorado Mesa University
16,Adams State University,Colorado,44400,81400,56,3,Adams State University
17,Colorado Christian University,Colorado,46800,80100,70,2,Colorado Christian University
18,Johnson & Wales University-Denver,Colorado,41500,74800,39,0,Johnson & Wales University Denver
19,Nazarene Bible College,Colorado,33600,60100,,0,Nazarene Bible College
1,Yale University,Connecticut,70300,138300,53,22,Yale University
2,United States Coast Guard Academy,Connecticut,67300,118100,68,69,United States Coast Guard Academy
3,Wesleyan University,Connecticut,61600,117000,53,21,Wesleyan University
4,Fairfield University,Connecticut,62300,116900,41,17,Fairfield University
5,Trinity College,Connecticut,60100,110900,49,22,Trinity College
6,University of Connecticut,Connecticut,59100,105200,48,24,University Connecticut
7,University of Hartford,Connecticut,55200,101600,53,15,University Hartford
8,Connecticut College,Connecticut,57500,100800,36,30,Connecticut College
9,Sacred Heart University,Connecticut,55000,100500,46,15,Sacred Heart University
10,Quinnipiac University,Connecticut,55900,97700,46,10,Quinnipiac University
11,University of New Haven,Connecticut,52100,94800,52,25,University New Haven
12,Central Connecticut State University,Connecticut,53100,93700,45,15,Central Connecticut State University
13,University of Bridgeport,Connecticut,49900,93600,59,31,University Bridgeport
14,University of Saint Joseph,Connecticut,49900,88800,63,9,University Saint Joseph
15,Western Connecticut State University,Connecticut,51700,88100,50,6,Western Connecticut State University
16,St Vincent's College,Connecticut,46800,87900,,0,St Vincent's College
17,Eastern Connecticut State University,Connecticut,49200,87800,43,14,Eastern Connecticut State University
18,Charter Oak State College,Connecticut,49200,85900,68,2,Charter Oak State College
18,Albertus Magnus College,Connecticut,49700,85900,62,2,Albertus Magnus College
20,Southern Connecticut State University,Connecticut,48500,83600,51,6,Southern Connecticut State University
1,University of Delaware,Delaware,58600,105400,43,22,University Delaware
2,Goldey-Beacom College,Delaware,49800,86900,42,25,Goldey Beacom College
3,Delaware State University,Delaware,46300,81900,62,10,Delaware State University
4,Wesley College,Delaware,45400,77300,50,2,Wesley College
5,Wilmington University,Delaware,45100,76600,50,4,Wilmington University
1,Embry-Riddle Aeronautical University-Daytona Beach,Florida,63300,111200,58,35,Embry Riddle Aeronautical University Daytona Beach
2,Polytechnic University of Puerto Rico-Miami,Florida,60600,108300,61,10,Polytechnic University Puerto Rico Miami
3,Florida Institute of Technology,Florida,58300,105400,53,48,Florida Institute Technology
4,University of Florida,Florida,55800,102800,52,29,University Florida
5,Polytechnic University of Puerto Rico-Orlando,Florida,57600,102200,66,29,Polytechnic University Puerto Rico Orlando
6,University of Miami,Florida,56200,99600,48,22,University Miami
7,Embry-Riddle Aeronautical University-Worldwide,Florida,55800,96800,67,3,Embry Riddle Aeronautical University Worldwide
8,Florida State University,Florida,50800,92700,49,18,Florida State University
9,The University of Tampa,Florida,49200,91500,48,8,University Tampa
10,University of South Florida-Main Campus,Florida,49700,91300,49,25,University South Florida
11,Florida Atlantic University,Florida,49400,91200,51,15,Florida Atlantic University
12,Jacksonville University,Florida,50100,90400,66,5,Jacksonville University
13,Florida International University,Florida,49600,90100,51,16,Florida International University
14,Adventist University of Health Sciences,Florida,51600,89800,88,5,Adventist University Health Sciences
14,Nova Southeastern University,Florida,50200,89800,60,9,Nova Southeastern University
16,University of Central Florida,Florida,49700,88600,50,16,University Central Florida
17,Eckerd College,Florida,49200,88400,52,25,Eckerd College
18,Rollins College,Florida,49000,87000,53,7,Rollins College
19,University of North Florida,Florida,48800,86600,51,11,University North Florida
20,New College of Florida,Florida,47300,86500,40,4,New College Florida
21,Stetson University,Florida,47000,86000,44,7,Stetson University
22,Lynn University,Florida,46100,85000,45,2,Lynn University
23,St Thomas University,Florida,47400,84500,57,4,St Thomas University
24,Barry University,Florida,47400,84400,66,12,Barry University
25,Florida Agricultural and Mechanical University,Florida,48000,83900,62,8,Florida Agricultural and Mechanical University
1,Georgia Institute of Technology-Main Campus,Georgia,72700,133400,48,80,Georgia Institute Technology
2,Emory University,Georgia,62000,110800,44,20,Emory University
3,University of Georgia,Georgia,54400,100700,45,14,University Georgia
4,Morehouse College,Georgia,55700,98700,58,26,Morehouse College
5,Kennesaw State University,Georgia,52500,94600,46,22,Kennesaw State University
6,Oglethorpe University,Georgia,52400,91400,50,12,Oglethorpe University
7,Georgia State University,Georgia,50600,90800,47,18,Georgia State University
8,Georgia Southern University,Georgia,49000,88000,49,17,Georgia Southern University
9,University of North Georgia,Georgia,47300,85600,51,8,University North Georgia
10,Spelman College,Georgia,50200,85400,52,24,Spelman College
11,Mercer University,Georgia,48500,85100,62,14,Mercer University
12,Berry College,Georgia,44900,84900,44,21,Berry College
13,Augusta University,Georgia,47000,84400,69,10,Augusta University
14,Agnes Scott College,Georgia,46000,83600,57,26,Agnes Scott College
15,University of West Georgia,Georgia,46700,82700,51,9,University West Georgia
16,Armstrong State University,Georgia,46600,81500,60,10,Armstrong State University
17,Clayton  State University,Georgia,46400,81200,54,9,Clayton State University
18,Clark Atlanta University,Georgia,46300,81100,54,15,Clark Atlanta University
19,Valdosta State University,Georgia,43400,81000,57,7,Valdosta State University
20,Georgia College & State University,Georgia,45300,80300,51,12,Georgia College and State University
21,Savannah College of Art and Design,Georgia,46800,80100,34,3,Savannah College Art and Design
22,Shorter University,Georgia,45600,79900,55,6,Shorter University
23,Middle Georgia State University,Georgia,44000,79800,57,11,Middle Georgia State University
24,Covenant College,Georgia,44400,79400,62,19,Covenant College
25,Columbus State University,Georgia,43300,77900,59,10,Columbus State University
1,Brigham Young University-Hawaii,Hawaii,51700,93900,57,12,Brigham Young University Hawaii
2,Hawaii Pacific University,Hawaii,52200,93500,56,15,Hawaii Pacific University
3,University of Hawaii at Manoa,Hawaii,51600,91600,56,18,University Hawaii Manoa
4,Chaminade University of Honolulu,Hawaii,45400,84000,55,3,Chaminade University Honolulu
5,University of Hawaii at Hilo,Hawaii,44000,77200,59,14,University Hawaii Hilo
6,University of Hawaii-West Oahu,Hawaii,41300,74300,56,0,University Hawaii West Oahu
1,University of Idaho,Idaho,52300,97700,54,22,University Idaho
2,Brigham Young University-Idaho,Idaho,53700,93500,59,14,Brigham Young University Idaho
3,Idaho State University,Idaho,50800,91800,64,12,Idaho State University
4,Boise State University,Idaho,50100,86400,55,14,Boise State University
5,The College of Idaho,Idaho,44700,82100,48,17,College Idaho
6,Northwest Nazarene University,Idaho,46200,80600,68,7,Northwest Nazarene University
7,Lewis-Clark State College,Idaho,44900,77600,60,5,Lewis Clark State College
1,Illinois Institute of Technology,Illinois,64600,118500,47,64,Illinois Institute Technology
2,Northwestern University,Illinois,63400,115400,46,20,Northwestern University
3,University of Illinois at Urbana-Champaign,Illinois,62600,115300,44,36,University Illinois Urbana Champaign
4,University of Chicago,Illinois,64000,114200,41,22,University Chicago
5,Rush University,Illinois,63500,107600,88,6,Rush University
6,Bradley University,Illinois,55600,104900,46,38,Bradley University
7,University of Illinois at Chicago,Illinois,56300,103800,48,31,University Illinois Chicago
8,DePaul University,Illinois,55700,102900,43,15,DePaul University
9,Lake Forest College,Illinois,55400,102600,46,21,Lake Forest College
10,St. John's College-Department of Nursing,Illinois,55100,100000,,0,St. John's College Department Nursing
11,Wheaton College (Illinois),Illinois,53700,99700,55,12,Wheaton College (Illinois)
12,Illinois Wesleyan University,Illinois,53100,96000,44,18,Illinois Wesleyan University
12,Loyola University Chicago,Illinois,53400,96000,45,15,Loyola University Chicago
14,Northern Illinois University,Illinois,53000,95500,47,20,Northern Illinois University
15,Knox College,Illinois,50600,95400,45,24,Knox College
16,Illinois State University,Illinois,51200,95000,47,10,Illinois State University
17,Principia College,Illinois,52600,94900,56,19,Principia College
18,Lakeview College of Nursing,Illinois,55000,94100,83,0,Lakeview College Nursing
19,North Central College,Illinois,50400,92900,45,9,North Central College
20,Saint Xavier University,Illinois,49400,91200,60,10,Saint Xavier University
21,Southern Illinois University-Carbondale,Illinois,49700,90900,54,17,Southern Illinois University Carbondale
22,Saint Francis Medical Center College of Nursing,Illinois,52800,90800,,0,Saint Francis Medical Center College Nursing
23,Methodist College,Illinois,51400,90500,,0,Methodist College
24,Southern Illinois University-Edwardsville,Illinois,51400,90100,50,21,Southern Illinois University Edwardsville
25,Lewis University,Illinois,49700,89800,53,14,Lewis University
1,Rose-Hulman Institute of Technology,Indiana,75000,135800,51,96,Rose Hulman Institute Technology
2,University of Notre Dame,Indiana,67000,130500,45,28,University Notre Dame
3,Wabash College,Indiana,62200,114400,40,34,Wabash College
4,Purdue University-Main Campus,Indiana,60900,110000,48,38,Purdue University
5,DePauw University,Indiana,56600,101000,47,24,DePauw University
6,Trine University,Indiana,55100,100300,56,26,Trine University
7,Butler University,Indiana,51800,99300,53,9,Butler University
8,Valparaiso University,Indiana,53300,98000,52,31,Valparaiso University
9,Indiana University-Bloomington,Indiana,53600,97100,47,16,Indiana University Bloomington
10,Taylor University,Indiana,48700,90600,59,16,Taylor University
11,University of Evansville,Indiana,50300,89900,54,17,University Evansville
12,Saint Mary's College,Indiana,49700,89300,54,15,Saint Mary's College
13,Earlham College,Indiana,49100,88400,57,31,Earlham College
14,Indiana University-Purdue University-Indianapolis,Indiana,50500,88200,55,15,Indiana University Purdue University Indianapolis
15,Holy Cross College,Indiana,48100,87800,,0,Holy Cross College
16,Franklin College,Indiana,48900,86200,45,21,Franklin College
17,Indiana State University,Indiana,47900,85600,55,8,Indiana State University
18,Hanover College,Indiana,47500,85100,53,24,Hanover College
19,Indiana Institute of Technology,Indiana,50000,84900,46,11,Indiana Institute Technology
20,Manchester University,Indiana,46900,84700,56,10,Manchester University
21,University of Indianapolis,Indiana,47300,84500,55,5,University Indianapolis
22,Ball State University,Indiana,45600,83700,48,7,Ball State University
22,University of Saint Francis-Fort Wayne,Indiana,45700,83700,63,5,University Saint Francis Fort Wayne
24,Indiana University-Purdue University-Fort Wayne,Indiana,47300,83200,52,17,Indiana University Purdue University Fort Wayne
25,Marian University (Indiana),Indiana,48400,82000,51,3,Marian University (Indiana)
1,Iowa State University,Iowa,56100,101300,48,31,Iowa State University
2,Drake University,Iowa,52800,99900,49,7,Drake University
3,University of Iowa,Iowa,54100,99400,48,16,University Iowa
4,Grinnell College,Iowa,53400,96500,49,41,Grinnell College
5,Allen College,Iowa,51600,91300,,0,Allen College
6,Cornell College,Iowa,49600,90600,47,22,Cornell College
7,Loras College,Iowa,48000,90100,56,14,Loras College
8,Dordt College,Iowa,51000,89600,57,17,Dordt College
9,Central College,Iowa,49000,88800,55,36,Central College
10,Graceland University-Lamoni,Iowa,48300,88700,66,5,Graceland University Lamoni
11,Simpson College,Iowa,49900,88600,47,17,Simpson College
12,Wartburg College,Iowa,49300,88000,49,34,Wartburg College
13,Coe College,Iowa,47200,86900,41,24,Coe College
14,Luther College,Iowa,48200,85900,49,21,Luther College
15,University of Northern Iowa,Iowa,47100,85300,46,8,University Northern Iowa
16,Maharishi University of Management,Iowa,46800,85200,,65,Maharishi University Management
17,Saint Ambrose University,Iowa,46900,84400,48,8,Saint Ambrose University
18,Northwestern College,Iowa,44800,82400,42,11,Northwestern College
19,Morningside College,Iowa,44900,82100,60,6,Morningside College
20,Clarke University,Iowa,44900,80200,52,6,Clarke University
21,University of Dubuque,Iowa,44200,79700,48,7,University Dubuque
22,Mount Mercy University,Iowa,47200,79000,51,4,Mount Mercy University
23,William Penn University,Iowa,43900,78300,59,7,William Penn University
24,Upper Iowa University,Iowa,44200,78000,56,3,Upper Iowa University
25,Iowa Wesleyan University,Iowa,42600,77200,60,8,Iowa Wesleyan University
1,University of Kansas,Kansas,53000,98600,52,16,University Kansas
2,Kansas State University,Kansas,52500,97200,51,18,Kansas State University
3,Benedictine College,Kansas,48700,91800,69,13,Benedictine College
4,Ottawa University-Ottawa,Kansas,49800,89900,57,7,Ottawa University Ottawa
5,University of Saint Mary,Kansas,49500,89700,61,6,University Saint Mary
6,Newman University,Kansas,48000,88500,66,11,Newman University
7,Wichita State University,Kansas,48700,87300,57,24,Wichita State University
8,Ottawa University-Online,Kansas,47300,84900,,7,Ottawa University Online
8,Pittsburg State University,Kansas,47100,84900,51,8,Pittsburg State University
10,Baker University,Kansas,47800,84200,55,2,Baker University
11,Southwestern College (Kansas),Kansas,48500,83500,61,10,Southwestern College (Kansas)
12,Washburn University,Kansas,47000,83000,54,4,Washburn University
13,Ottawa University-Kansas City,Kansas,45200,82600,,9,Ottawa University Kansas City
14,McPherson College,Kansas,44500,80900,59,9,McPherson College
15,Kansas Wesleyan University,Kansas,44700,79400,61,10,Kansas Wesleyan University
16,Fort Hays State University,Kansas,45100,79300,64,6,Fort Hays State University
17,Sterling College,Kansas,42700,79100,73,7,Sterling College
18,MidAmerica Nazarene University,Kansas,46200,78500,60,1,MidAmerica Nazarene University
19,Emporia State University,Kansas,43500,78000,60,9,Emporia State University
20,Tabor College,Kansas,43300,77500,62,7,Tabor College
21,Friends University,Kansas,44700,76500,59,14,Friends University
22,Bethel College-North Newton,Kansas,42700,73800,54,12,Bethel College North Newton
23,Bethany College (Kansas),Kansas,39100,73200,61,17,Bethany College (Kansas)
24,Manhattan Christian College,Kansas,39400,72200,,0,Manhattan Christian College
25,Central Christian College of Kansas,Kansas,37100,66100,,2,Central Christian College Kansas
1,University of Kentucky,Kentucky,51700,96400,48,19,University Kentucky
2,Thomas More College,Kentucky,50000,90900,56,8,Thomas More College
3,Bellarmine University,Kentucky,49000,90700,54,11,Bellarmine University
4,Centre College,Kentucky,49500,88500,52,22,Centre College
5,University of Louisville,Kentucky,49500,87600,50,18,University Louisville
6,Northern Kentucky University,Kentucky,49000,87400,46,12,Northern Kentucky University
7,Transylvania University,Kentucky,47900,85600,51,25,Transylvania University
8,Western Kentucky University,Kentucky,45500,83100,49,10,Western Kentucky University
9,Georgetown College,Kentucky,45000,81900,54,10,Georgetown College
10,Brescia University,Kentucky,44300,81200,53,7,Brescia University
11,Eastern Kentucky University,Kentucky,45600,80700,56,5,Eastern Kentucky University
12,Murray State University,Kentucky,44800,79900,56,9,Murray State University
13,Spalding University,Kentucky,44800,79200,71,0,Spalding University
14,Kentucky Wesleyan College,Kentucky,42100,76800,65,14,Kentucky Wesleyan College
15,Union College (Kentucky),Kentucky,40400,76000,37,4,Union College (Kentucky)
16,Morehead State University,Kentucky,41300,74900,56,9,Morehead State University
17,University of the Cumberlands,Kentucky,39800,73800,63,8,University Cumberlands
18,Kentucky State University,Kentucky,40700,73100,57,13,Kentucky State University
19,Berea College,Kentucky,39500,71600,53,27,Berea College
20,Asbury University,Kentucky,39400,70800,59,4,Asbury University
21,University of Pikeville,Kentucky,39000,70700,74,11,University Pikeville
22,Kentucky Christian University,Kentucky,39600,70300,68,3,Kentucky Christian University
22,Midway University,Kentucky,39200,70300,53,3,Midway University
24,Campbellsville University,Kentucky,37600,66800,50,7,Campbellsville University
25,Lindsey Wilson College,Kentucky,35300,64100,52,2,Lindsey Wilson College
1,Tulane University of Louisiana,Louisiana,56800,105300,44,22,Tulane University Louisiana
2,Louisiana State University and Agricultural & Mechanical College,Louisiana,54800,102900,53,24,Louisiana State University and Agricultural & Mechanical College
3,Louisiana Tech University,Louisiana,53100,100700,57,24,Louisiana Tech University
4,Louisiana State University Health Sciences Center-New Orleans,Louisiana,52300,94200,86,2,Louisiana State University Health Sciences Center New Orleans
5,University of Louisiana at Monroe,Louisiana,48500,92500,65,7,University Louisiana Monroe
5,University of Louisiana at Lafayette,Louisiana,48200,92500,52,19,University Louisiana Lafayette
7,University of New Orleans,Louisiana,49900,91600,55,23,University New Orleans
8,Franciscan Missionaries of Our Lady University,Louisiana,51200,90900,87,1,Franciscan Missionaries Our Lady University
9,Loyola University New Orleans,Louisiana,47900,88600,47,4,Loyola University New Orleans
10,Centenary College of Louisiana,Louisiana,47000,88400,37,26,Centenary College Louisiana
11,McNeese State University,Louisiana,50200,88200,57,13,McNeese State University
11,Xavier University of Louisiana,Louisiana,46700,88200,63,35,Xavier University Louisiana
13,University of Holy Cross,Louisiana,48400,86300,69,3,University Holy Cross
14,Nicholls State University,Louisiana,44500,84300,53,5,Nicholls State University
15,Southeastern Louisiana University,Louisiana,46700,83900,51,8,Southeastern Louisiana University
16,Southern University and A&M College,Louisiana,48000,83100,65,17,Southern University and A&M College
17,Louisiana College,Louisiana,44800,79800,58,4,Louisiana College
17,Louisiana State University-Shreveport,Louisiana,44500,79800,54,10,Louisiana State University Shreveport
17,Dillard University,Louisiana,44700,79800,74,20,Dillard University
20,Northwestern State University of Louisiana,Louisiana,44300,79300,62,6,Northwestern State University Louisiana
21,Grambling State University,Louisiana,43100,73100,66,10,Grambling State University
22,Southern University at New Orleans,Louisiana,40100,71000,76,13,Southern University New Orleans
23,New Orleans Baptist Theological Seminary,Louisiana,33900,61500,,0,New Orleans Baptist Theological Seminary
1,Maine Maritime Academy,Maine,67000,121800,65,48,Maine Maritime Academy
2,Bowdoin College,Maine,61300,112000,54,37,Bowdoin College
3,Bates College,Maine,59500,111900,50,23,Bates College
4,Colby College,Maine,59200,103300,50,25,Colby College
5,University of Maine,Maine,52000,95000,50,24,University Maine
6,University of New England,Maine,50100,91500,69,7,University New England
7,Saint Joseph's College of Maine,Maine,46900,84300,60,2,Saint Joseph's College Maine
8,Thomas College,Maine,46100,81500,49,3,Thomas College
9,University of Southern Maine,Maine,46900,81300,55,8,University Southern Maine
10,Husson University,Maine,43300,77600,52,1,Husson University
11,University of Maine at Fort Kent,Maine,43500,76300,73,5,University Maine Fort Kent
12,University of Maine at Augusta,Maine,41600,73100,61,7,University Maine Augusta
13,University of Maine at Farmington,Maine,41100,71700,64,5,University Maine Farmington
14,University of Maine at Presque Isle,Maine,39000,70700,58,6,University Maine Presque Isle
15,Unity College,Maine,38200,69500,,23,Unity College
16,University of Maine at Machias,Maine,37100,66200,47,13,University Maine Machias
17,Maine College of Art,Maine,36300,64600,37,0,Maine College Art
1,United States Naval Academy,Maryland,80100,152800,64,58,United States Naval Academy
2,Capitol Technology University,Maryland,67400,118400,63,88,Capitol Technology University
3,Johns Hopkins University,Maryland,67200,117100,57,31,Johns Hopkins University
4,University of Maryland-College Park,Maryland,61300,113400,50,33,University Maryland College Park
5,Loyola University Maryland,Maryland,59900,111200,40,8,Loyola University Maryland
6,University of Maryland-Baltimore County,Maryland,58100,103600,54,45,University Maryland Baltimore County
7,St. John's College,Maryland,55900,101200,,0,St. John's College
8,"University of Maryland, Baltimore",Maryland,57300,99600,76,4,"University Maryland, Baltimore"
8,University of Maryland-University College,Maryland,55300,99600,59,27,University Maryland University College
10,Washington Adventist University,Maryland,55600,97600,63,9,Washington Adventist University
11,St Mary's College of Maryland,Maryland,53300,95400,45,27,St Mary's College Maryland
12,McDaniel College,Maryland,51100,94600,54,6,McDaniel College
13,Mount St. Mary's University,Maryland,50200,94100,50,11,Mount St. Mary's University
14,Washington College,Maryland,52800,93500,55,21,Washington College
15,Stevenson University,Maryland,50400,91600,51,15,Stevenson University
16,Towson University,Maryland,51200,91200,47,15,Towson University
17,Goucher College,Maryland,49400,90600,42,11,Goucher College
18,Bowie State University,Maryland,50300,89900,65,11,Bowie State University
19,Salisbury University,Maryland,50400,89800,51,12,Salisbury University
20,University of Baltimore,Maryland,51000,89600,56,2,University Baltimore
21,Frostburg State University,Maryland,49600,87000,48,19,Frostburg State University
22,University of Maryland Eastern Shore,Maryland,48300,86700,63,14,University Maryland Eastern Shore
23,Notre Dame of Maryland University,Maryland,48300,86400,58,3,Notre Dame Maryland University
24,Maryland Institute College of Art,Maryland,49000,84500,40,0,Maryland Institute College Art
25,Hood College,Maryland,47900,82600,49,32,Hood College
1,Massachusetts Institute of Technology,Massachusetts,86300,155200,52,69,Massachusetts Institute Technology
2,Harvard University,Massachusetts,74800,146800,54,19,Harvard University
3,Worcester Polytechnic Institute,Massachusetts,73600,135500,47,86,Worcester Polytechnic Institute
4,Babson College,Massachusetts,72000,133800,37,0,Babson College
5,Williams College,Massachusetts,67500,127500,47,32,Williams College
6,MCPHS University,Massachusetts,65900,121800,71,2,MCPHS University
7,Tufts University,Massachusetts,65200,118100,49,25,Tufts University
8,Massachusetts Maritime Academy,Massachusetts,67900,117500,53,47,Massachusetts Maritime Academy
9,Bentley University,Massachusetts,66600,116600,36,7,Bentley University
10,Amherst College,Massachusetts,63800,116500,45,32,Amherst College
11,Boston College,Massachusetts,63600,115400,43,13,Boston College
12,College of the Holy Cross,Massachusetts,61800,114600,46,24,College Holy Cross
13,Boston University,Massachusetts,61400,113600,43,25,Boston University
14,Brandeis University,Massachusetts,60600,113200,48,29,Brandeis University
15,Wentworth Institute of Technology,Massachusetts,62700,112700,53,39,Wentworth Institute Technology
16,Northeastern University,Massachusetts,62500,109700,46,40,Northeastern University
17,University of Massachusetts-Lowell,Massachusetts,58800,109300,53,35,University Massachusetts Lowell
18,Wellesley College,Massachusetts,58900,106200,48,34,Wellesley College
19,Stonehill College,Massachusetts,55900,103200,42,18,Stonehill College
20,Western New England University,Massachusetts,56400,103000,44,21,Western New England University
20,University of Massachusetts-Amherst,Massachusetts,57400,103000,46,24,University Massachusetts Amherst
