Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Aaniiih Nakoda College,Aaniiih Nakoda College,Montana,MT,Public,2 Year,,2380,2380,2380,2380
Abilene Christian University,Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474,4128,12602,12550,21024
Academy College,Academy College,Minnesota,MN,For Profit,2 Year,,17661,17661,17661,17661
Academy of Art University,Academy Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adelphi University,Adelphi University,New York,NY,Private,4 Year,16030,38660,54690,38660,54690
Adirondack Community College,Adirondack Community College,New York,NY,Public,2 Year,11660,5375,17035,9935,21595
Adrian College,Adrian College,Michigan,MI,Private,4 Year,11318,37087,48405,37087,48405
Advanced Technology Institute,Advanced Technology Institute,Virginia,VA,For Profit,2 Year,,13680,13680,13680,13680
Adventist University of Health Sciences,Adventist University Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Aiken Technical College,Aiken Technical College,South Carolina,SC,Public,2 Year,,5160,5160,8010,8010
Aims Community College,Aims Community College,Colorado,CO,Public,2 Year,,2281,2281,13018,13018
Alabama Agricultural and Mechanical University,Alabama A&M University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297
Alabama Southern Community College,Alabama Southern Community College,Alabama,AL,Public,2 Year,,4440,4440,8880,8880
Alabama State University,Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alamance Community College,Alamance Community College,North Carolina,NC,Public,2 Year,,2310,2310,8070,8070
Alaska Bible College,Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,Albany College Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Albany State University,Georgia,GA,Public,4 Year,8878,6726,15604,19802,28680
Albany Technical College,Albany Technical College,Georgia,GA,Public,2 Year,,3246,3246,5916,5916
Albertus Magnus College,Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155
Albright College,Albright College,Pennsylvania,PA,Private,4 Year,12070,45306,57376,45306,57376
Alcorn State University,Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752
Alderson-Broaddus University,Alderson Broaddus University,West Virginia,WV,Private,4 Year,8860,27910,36770,27910,36770
Alexandria Technical and Community College,Alexandria Technical and Community College,Minnesota,MN,Public,2 Year,,5416,5416,5416,5416
Alfred University,Alfred University,New York,NY,Private,4 Year,12516,33484,46000,33484,46000
Allan Hancock College,Allan Hancock College,California,CA,Public,2 Year,,1418,1418,7898,7898
Allegany College of Maryland,Allegany College Maryland,Maryland,MD,Public,2 Year,,4140,4140,9210,9210
Allegheny College,Allegheny College,Pennsylvania,PA,Private,4 Year,12140,47540,59680,47540,59680
Allegheny Wesleyan College,Allegheny Wesleyan College,Ohio,OH,Private,4 Year,4000,6400,10400,6400,10400
Allen College,Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252
Allen County Community College,Allen County Community College,Kansas,KS,Public,2 Year,5070,3150,8220,3150,8220
Allen University,Allen University,South Carolina,SC,Private,4 Year,7230,13340,20570,13340,20570
Alliant International University,Alliant International University,California,CA,Private,4 Year,,18000,18000,18000,18000
Alma College,Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256
Alpena Community College,Alpena Community College,Michigan,MI,Public,2 Year,,4530,4530,6840,6840
Alvernia University,Alvernia University,Pennsylvania,PA,Private,4 Year,,34885,34885,34885,34885
Alverno College,Alverno College,Wisconsin,WI,Private,4 Year,8546,28302,36848,28302,36848
Alvin Community College,Alvin Community College,Texas,TX,Public,2 Year,,1998,1998,4818,4818
Amarillo College,Amarillo College,Texas,TX,Public,2 Year,,2670,2670,5880,5880
Amberton University,Amberton University,Texas,TX,Private,4 Year,,12840,12840,12840,12840
American Academy McAllister Institute of Funeral Service,American Academy McAllister Institute Funeral Service,New York,NY,Private,2 Year,,17160,17160,17160,17160
American Academy of Art,American Academy Art,Illinois,IL,Private,4 Year,,34100,34100,34100,34100
American Academy of Dramatic Arts,American Academy Dramatic Arts,New York,NY,Private,2 Year,17955,35160,53115,35160,53115
American Academy of Dramatic Arts: West,American Academy Dramatic Arts West,California,CA,Private,2 Year,13255,35160,48415,35160,48415
American Baptist College,American Baptist College,Tennessee,TN,Private,4 Year,8640,10950,19590,10950,19590
American Indian College of the Assemblies of God,American Indian College Assemblies God,Arizona,AZ,Private,4 Year,6250,958,7208,958,7208
American International College,American International College,Massachusetts,MA,Private,4 Year,14300,35680,49980,35680,49980
American Jewish University,American Jewish University,California,CA,Private,4 Year,17362,31826,49188,31826,49188
American National University: Charlottesville,American National University Charlottesville,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735
American National University: Danville,American National University Danville,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735
American National University: Harrisonburg,American National University Harrisonburg,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735
American National University: Lynchburg,American National University Lynchburg,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735
American National University: Martinsville,American National University Martinsville,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735
American National University: Salem,American National University Salem,Virginia,VA,For Profit,4 Year,,18735,18735,18735,18735
American  University SystemFor-profit,American University SystemFor profit,West Virginia,WV,Public,4 Year,,8150,8150,8150,8150
American River College,American River College,California,CA,Public,2 Year,,1416,1416,9546,9546
Amherst College,Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166
Amridge University,Amridge University,Alabama,AL,Private,4 Year,,6900,6900,6900,6900
Ancilla College,Ancilla College,Indiana,IN,Private,2 Year,9600,17330,26930,17330,26930
Anderson University,Anderson University (South Carolina),South Carolina,SC,Private,4 Year,9830,28000,37830,28000,37830
Anderson University,Anderson University (Indiana),Indiana,IN,Private,4 Year,9890,30450,40340,30450,40340
Andrew College,Andrew College,Georgia,GA,Private,2 Year,10636,17388,28024,17388,28024
Andrews University,Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366
Angelina College,Angelina College,Texas,TX,Public,2 Year,5500,2625,8125,5535,11035
Angelo State University,Angelo State University,Texas,TX,Public,4 Year,9130,8489,17619,20939,30069
Anna Maria College,Anna Maria College,Massachusetts,MA,Private,4 Year,14630,37860,52490,37860,52490
Anne Arundel Community College,Anne Arundel Community College,Maryland,MD,Public,2 Year,,4110,4110,12180,12180
Anoka Technical College,Anoka Technical College,Minnesota,MN,Public,2 Year,,5584,5584,5584,5584
Anoka-Ramsey Community College,Anoka Ramsey Community College,Minnesota,MN,Public,2 Year,,5073,5073,5073,5073
Antelope Valley College,Antelope Valley College,California,CA,Public,2 Year,,1420,1420,9760,9760
Antioch College,Antioch College,Ohio,OH,Private,4 Year,7640,35718,43358,35718,43358
Antioch University Los Angeles,Antioch University Los Angeles,California,CA,Private,4 Year,,20670,20670,20670,20670
Antioch University Midwest,Antioch University Midwest,Ohio,OH,Private,4 Year,,16210,16210,16210,16210
Antioch University Santa Barbara,Antioch University Santa Barbara,California,CA,Private,4 Year,,22575,22575,22575,22575
Antioch University Seattle,Antioch University Seattle,Washington,WA,Private,4 Year,,27435,27435,27435,27435
Apex School of Theology,Apex School Theology,North Carolina,NC,Private,4 Year,,6200,6200,6200,6200
Appalachian Bible College,Appalachian Bible College,West Virginia,WV,Private,4 Year,7960,14720,22680,14720,22680
Appalachian State University,Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325
Aquinas College,Aquinas College,Michigan,MI,Private,4 Year,9332,32574,41906,32574,41906
Aquinas College,Aquinas College,Tennessee,TN,Private,4 Year,,23600,23600,23600,23600
Arapahoe Community College,Arapahoe Community College,Colorado,CO,Public,2 Year,,4811,4811,18671,18671
Arcadia University,Arcadia University,Pennsylvania,PA,Private,4 Year,13800,43580,57380,43580,57380
Arizona Christian University,Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470
Arizona State University,Arizona State University Tempe,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984
Arizona Western College,Arizona Western College,Arizona,AZ,Public,2 Year,6700,2520,9220,9510,16210
Arkansas Baptist College,Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826,8760,17586,8760,17586
Arkansas Northeastern College,Arkansas Northeastern College,Arkansas,AR,Public,2 Year,,2450,2450,4250,4250
Arkansas State University,Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458
Arkansas State University Mid-South,Arkansas State University Mid South,Arkansas,AR,Public,2 Year,,3274,3274,5014,5014
Arkansas State University: Beebe,Arkansas State University Beebe,Arkansas,AR,Public,2 Year,5280,3600,8880,5760,11040
Arkansas State University: Mountain Home,Arkansas State University Mountain Home,Arkansas,AR,Public,2 Year,,3570,3570,5580,5580
Arkansas State University: Newport,Arkansas State University Newport,Arkansas,AR,Public,2 Year,,3480,3480,5310,5310
Arkansas Tech University,Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718
Arlington Baptist University,Arlington Baptist University,Texas,TX,Private,4 Year,6500,13190,19690,13190,19690
Armstrong State University,Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251
Art Academy of Cincinnati,Art Academy Cincinnati,Ohio,OH,Private,4 Year,6700,33889,40589,33889,40589
Art Center College of Design,Art Center College Design,California,CA,Private,4 Year,,43416,43416,43416,43416
Art Institute of Houston,Art Institute Houston,Texas,TX,For Profit,4 Year,9600,24024,33624,24024,33624
Art Institute of Philadelphia,Art Institute Philadelphia,Pennsylvania,PA,For Profit,4 Year,,14850,14850,14850,14850
Art Institute of Phoenix,Art Institute Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573
Art Institute of Pittsburgh,Art Institute Pittsburgh,Pennsylvania,PA,For Profit,4 Year,2758,23376,26134,23376,26134
ASA College,ASA College,New York,NY,For Profit,2 Year,9500,14065,23565,14065,23565
Asbury University,Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358
Asheville-Buncombe Technical Community College,Asheville Buncombe Technical Community College,North Carolina,NC,Public,2 Year,,2354,2354,8114,8114
Ashford University,Ashford University,California,CA,For Profit,4 Year,,12160,12160,12160,12160
Ashland Community and Technical College,Ashland Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000
Ashland University,Ashland University,Ohio,OH,Private,4 Year,9941,21342,31283,21342,31283
Ashworth College,Ashworth College,Georgia,GA,For Profit,2 Year,,1399,1399,1399,1399
Asnuntuck Community College,Asnuntuck Community College,Connecticut,CT,Public,2 Year,,4404,4404,13170,13170
Assumption College,Assumption College,Massachusetts,MA,Private,4 Year,12694,40958,53652,40958,53652
Assumption College for Sisters,Assumption College for Sisters,New Jersey,NJ,Private,2 Year,,5888,5888,5888,5888
Athens State University,Athens State University,Alabama,AL,Public,4 Year,,6810,6810,12870,12870
Athens Technical College,Athens Technical College,Georgia,GA,Public,2 Year,,3292,3292,5962,5962
Atlanta Metropolitan State College,Atlanta Metropolitan State College,Georgia,GA,Public,2 Year,,4008,4008,12088,12088
Atlanta Technical College,Atlanta Technical College,Georgia,GA,Public,2 Year,,3350,3350,6020,6020
Atlantic Cape Community College,Atlantic Cape Community College,New Jersey,NJ,Public,2 Year,,5096,5096,8096,8096
Auburn University,Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Auburn University Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028
Augsburg University,Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080
Augusta Technical College,Augusta Technical College,Georgia,GA,Public,2 Year,,3494,3494,6164,6164
Augusta University,Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436
Augustana College,Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707
Augustana University,Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266
Aultman College of Nursing and Health Sciences,Aultman College Nursing and Health Sciences,Ohio,OH,Private,2 Year,,18510,18510,18510,18510
Aurora University,Aurora University,Illinois,IL,Private,4 Year,11700,24260,35960,24260,35960
Austin College,Austin College,Texas,TX,Private,4 Year,12527,39985,52512,39985,52512
Austin Community College,Austin Community College,Texas,TX,Public,2 Year,,2550,2550,13020,13020
Austin Graduate School of Theology,Austin Graduate School Theology,Texas,TX,Private,4 Year,,11900,11900,11900,11900
Austin Peay State University,Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167
Ave Maria University,Ave Maria University,Florida,FL,Private,4 Year,11436,20850,32286,20850,32286
Averett University,Averett University,Virginia,VA,Private,4 Year,9976,34400,44376,34400,44376
Avila University,Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100
Azusa Pacific University,Azusa Pacific University,California,CA,Private,4 Year,10076,38880,48956,38880,48956
Babson College,Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240
Bakersfield College,Bakersfield College,California,CA,Public,2 Year,,1418,1418,7838,7838
Baldwin Wallace University,Baldwin Wallace University,Ohio,OH,Private,4 Year,9554,32586,42140,32586,42140
Ball State University,Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702
Baltimore City Community College,Baltimore City Community College,Maryland,MD,Public,2 Year,,2893,2893,6973,6973
Baptist Bible College,Baptist Bible College,Missouri,MO,Private,4 Year,7500,14150,21650,14150,21650
Baptist College of Florida,Baptist College Florida,Florida,FL,Private,4 Year,4612,12300,16912,12300,16912
Baptist College of Health Sciences,Baptist Memorial College Health Sciences,Tennessee,TN,Private,4 Year,2900,14700,17600,14700,17600
Baptist Missionary Association Theological Seminary,Baptist Missionary Association Theological Seminary,Texas,TX,Private,4 Year,3150,6690,9840,6690,9840
Baptist University of the Americas,Baptist University Americas,Texas,TX,Private,4 Year,2500,7800,10300,7800,10300
Barclay College,Barclay College,Kansas,KS,Private,4 Year,9300,19690,28990,19690,28990
Bard College,Bard College,New York,NY,Private,4 Year,15488,54680,70168,54680,70168
Bard College at Simon's Rock,Bard College Simon's Rock,Massachusetts,MA,Private,4 Year,14916,55732,70648,55732,70648
Barnard College,Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257
Barry University,Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950
Barstow Community College,Barstow Community College,California,CA,Public,2 Year,,1391,1391,9131,9131
Barton College,Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000
Barton County Community College,Barton County Community College,Kansas,KS,Public,2 Year,5794,3440,9234,3440,9234
Bastyr University,Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756
Bates College,Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018
Bates Technical College,Bates Technical College,Washington,WA,Public,2 Year,,4783,4783,10214,10214
Baton Rouge Community College,Baton Rouge Community College,Louisiana,LA,Public,2 Year,,3981,3981,8059,8059
Bay College,Bay College,Michigan,MI,Public,2 Year,3200,4830,8030,8910,12110
Bay Mills Community College,Bay Mills Community College,Michigan,MI,Public,2 Year,,3250,3250,3250,3250
Bay Path University,Bay Path University,Massachusetts,MA,Private,4 Year,12799,34225,47024,34225,47024
Bay State College,Bay State College,Massachusetts,MA,For Profit,2 Year,13300,27750,41050,27750,41050
Baylor University,Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322
Beacon College,Beacon College,Florida,FL,Private,4 Year,11390,39016,50406,39016,50406
Beaufort County Community College,Beaufort County Community College,North Carolina,NC,Public,2 Year,,2344,2344,8104,8104
Becker College,Becker College,Massachusetts,MA,Private,4 Year,13800,39200,53000,39200,53000
Beckfield College,Beckfield College,Kentucky,KY,For Profit,4 Year,,4000,4000,4000,4000
Beis Medrash Heichal Dovid,Beis Medrash Heichal Dovid,New York,NY,Private,4 Year,4500,9500,14000,9500,14000
Belhaven University,Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800
Bellarmine University,Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450
Bellevue College,Bellevue College,Washington,WA,Public,2 Year,,4258,4258,9689,9689
Bellevue University,Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120
Bellin College,Bellin College,Wisconsin,WI,Private,4 Year,,22178,22178,22178,22178
Bellingham Technical College,Bellingham Technical College,Washington,WA,Public,2 Year,,2790,2790,3460,3460
Belmont Abbey College,Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855
Belmont College,Belmont College,Ohio,OH,Public,2 Year,,4973,4973,8070,8070
Belmont University,Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430
Beloit College,Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870
Bemidji State University,Bemidji State University,Minnesota,MN,Public,4 Year,8408,8696,17104,8696,17104
Benedict College,Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800
Benedictine College,Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830
Benedictine University,Benedictine University,Illinois,IL,Private,4 Year,9480,34290,43770,34290,43770
Benjamin Franklin Institute of Technology,Benjamin Franklin Institute Technology,Massachusetts,MA,Private,2 Year,12400,18690,31090,18690,31090
Bennett College for Women,Bennett College for Women,North Carolina,NC,Private,4 Year,8114,18513,26627,18513,26627
Bennington College,Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970
Bentley University,Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200
Berea College,Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754
Bergen Community College,Bergen Community College,New Jersey,NJ,Public,2 Year,,5610,5610,10650,10650
Bergin University of Canine Studies,Bergin University Canine Studies,California,CA,Private,4 Year,,9450,9450,9450,9450
Berkeley City College,Berkeley City College,California,CA,Public,2 Year,,1432,1432,9622,9622
Berklee College of Music,Berklee College Music,Massachusetts,MA,Private,4 Year,18180,42750,60930,42750,60930
Berkshire Community College,Berkshire Community College,Massachusetts,MA,Public,2 Year,,8569,8569,15589,15589
Berry College,Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326
Beth Hatalmud Rabbinical College,Beth Hatalmud Rabbinical College,New York,NY,Private,4 Year,,11750,11750,11750,11750
Beth Medrash Govoha,Beth Medrash Govoha,New Jersey,NJ,Private,4 Year,4172,21388,25560,21388,25560
Bethany College (Kansas),Bethany College (Kansas),Kansas,KS,Private,4 Year,10605,28475,39080,28475,39080
Bethany College,Bethany College (West Virginia),West Virginia,WV,Private,4 Year,10580,29773,40353,29773,40353
Bethany Lutheran College,Bethany Lutheran College,Minnesota,MN,Private,4 Year,8100,27650,35750,27650,35750
Bethel College (Kansas),Bethel College North Newton,Kansas,KS,Private,4 Year,8850,28780,37630,28780,37630
Bethel University,Bethel University,Tennessee,TN,Private,4 Year,9198,16552,25750,16552,25750
Bethel University (Minnesota),Bethel University (Minnesota),Minnesota,MN,Private,4 Year,10520,37300,47820,37300,47820
Bethesda University of California,Bethesda University California,California,CA,Private,4 Year,,8350,8350,8350,8350
Bethune-Cookman University,Bethune Cookman University,Florida,FL,Private,4 Year,9412,14814,24226,14814,24226
Beulah Heights University,Beulah Heights University,Georgia,GA,Private,4 Year,6000,9880,15880,9880,15880
Beverly Hills Design Institute,Beverly Hills Design Institute,California,CA,Private,4 Year,,31060,31060,31060,31060
Bevill State Community College,Bevill State Community College,Alabama,AL,Public,2 Year,1300,4770,6070,8640,9940
Big Bend Community College,Big Bend Community College,Washington,WA,Public,2 Year,3537,4272,7809,9703,13240
Big Sandy Community and Technical College,Big Sandy Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000
Biola University,Biola University,California,CA,Private,4 Year,10730,40488,51218,40488,51218
Birmingham-Southern College,Birmingham Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000
Bishop State Community College,Bishop State Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610
Bismarck State College,Bismarck State College,North Dakota,ND,Public,2 Year,7794,4790,12584,6785,14579
Black Hawk College,Black Hawk College,Illinois,IL,Public,2 Year,,4470,4470,7650,7650
Black Hills State University,Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756
Black River Technical College,Black River Technical College,Arkansas,AR,Public,2 Year,,3660,3660,6510,6510
Blackburn College,Blackburn College,Illinois,IL,Private,4 Year,7930,22410,30340,22410,30340
Blackfeet Community College,Blackfeet Community College,Montana,MT,Public,2 Year,6787,3590,10377,3590,10377
Blackhawk Technical College,Blackhawk Technical College,Wisconsin,WI,Public,2 Year,,4340,4340,6623,6623
Bladen Community College,Bladen Community College,North Carolina,NC,Public,2 Year,,2528,2528,8672,8672
Blessing-Rieman College of Nursing & Health Sciences,Blessing Rieman College Nursing & Health Sciences,Illinois,IL,Private,4 Year,,25250,25250,25250,25250
Blinn College,Blinn College,Texas,TX,Public,2 Year,8103,3540,11643,10050,18153
Bloomfield College,Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500
Bloomsburg University of Pennsylvania,Bloomsburg University Pennsylvania,Pennsylvania,PA,Public,4 Year,9686,10958,20644,22532,32218
Blue Mountain College,Blue Mountain College,Mississippi,MS,Private,4 Year,6294,12584,18878,12584,18878
Blue Mountain Community College,Blue Mountain Community College,Oregon,OR,Public,2 Year,,6188,6188,15908,15908
Blue Ridge Community and Technical College,Blue Ridge Community and Technical College,West Virginia,WV,Public,2 Year,,4128,4128,7464,7464
Blue Ridge Community College,Blue Ridge Community College,North Carolina,NC,Public,2 Year,,2365,2365,8125,8125
Blue Ridge Community College,Blue Ridge Community College,Virginia,VA,Public,2 Year,,5364,5364,11292,11292
Bluefield College,Bluefield College,Virginia,VA,Private,4 Year,9024,25290,34314,25290,34314
Bluefield State College,Bluefield State College,West Virginia,WV,Public,4 Year,,8820,8820,16920,16920
Bluegrass Community and Technical College,Bluegrass Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000
Bluffton University,Bluffton University,Ohio,OH,Private,4 Year,10800,32766,43566,32766,43566
Bob Jones University,Bob Jones University,South Carolina,SC,Private,4 Year,6976,18150,25126,18150,25126
Boise Bible College,Boise Bible College,Idaho,ID,Private,4 Year,6200,12520,18720,12520,18720
Boise State University,Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468
Bolivar Technical College,Bolivar Technical College,Missouri,MO,Private,2 Year,,18292,18292,18292,18292
Boricua College,Boricua College,New York,NY,Private,4 Year,,11025,11025,11025,11025
Bossier Parish Community College,Bossier Parish Community College,Louisiana,LA,Public,2 Year,,4283,4283,8960,8960
Boston Architectural College,Boston Architectural College,Massachusetts,MA,Private,4 Year,13280,21894,35174,21894,35174
Boston Baptist College,Boston Baptist College,Massachusetts,MA,Private,4 Year,7810,12600,20410,12600,20410
Boston College,Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942
Boston Conservatory at Berklee,Boston Conservatory Berklee,Massachusetts,MA,Private,4 Year,18360,46020,64380,46020,64380
Boston University,Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668
Bowdoin College,Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620
Bowie State University,Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777
Bowling Green State University,Bowling Green State University,Ohio,OH,Public,4 Year,9168,11105,20273,19093,28261
Bowling Green State University: Firelands College,Bowling Green State University Firelands College,Ohio,OH,Public,2 Year,,4912,4912,12901,12901
Bradley University,Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380
Brandeis University,Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835
Brandman University,Brandman University,California,CA,Private,4 Year,,15380,15380,15380,15380
Brazosport College,Brazosport College,Texas,TX,Public,2 Year,,2715,2715,5355,5355
Brenau University,Brenau University,Georgia,GA,Private,4 Year,12418,29050,41468,29050,41468
Brescia University,Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600
Brevard College,Brevard College,North Carolina,NC,Private,4 Year,9900,29350,39250,29350,39250
Brewton-Parker College,Brewton Parker College,Georgia,GA,Private,4 Year,7850,18690,26540,18690,26540
Briar Cliff University,Briar Cliff University,Iowa,IA,Private,4 Year,9020,31964,40984,31964,40984
BridgeValley Community and Technical College,BridgeValley Community and Technical College,West Virginia,WV,Public,2 Year,,5460,5460,13020,13020
Bridgewater College,Bridgewater College,Virginia,VA,Private,4 Year,12720,35160,47880,35160,47880
Bridgewater State University,Bridgewater State University,Massachusetts,MA,Public,4 Year,13090,10367,23457,16507,29597
Brigham Young University,Brigham Young University Provo,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248
Brigham Young University-Hawaii,Brigham Young University Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146
Brigham Young University-Idaho,Brigham Young University Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710
Bristol Community College,Bristol Community College,Massachusetts,MA,Public,2 Year,,5970,5970,12150,12150
Brookdale Community College,Brookdale Community College,New Jersey,NJ,Public,2 Year,,5216,5216,9281,9281
Brookhaven College,Brookhaven College,Texas,TX,Public,2 Year,,1770,1770,5220,5220
Broome Community College,Broome Community College,New York,NY,Public,2 Year,11818,5482,17300,10210,22028
Broward College,Broward College,Florida,FL,Public,2 Year,,3540,3540,11190,11190
Brown University,Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326
Brunswick Community College,Brunswick Community College,North Carolina,NC,Public,2 Year,,2380,2380,8140,8140
Bryan College of Health Sciences,Bryan College Health Sciences,Nebraska,NE,Private,4 Year,,18270,18270,18270,18270
Bryan College: Dayton,Bryan College Dayton,Tennessee,TN,Private,4 Year,7500,26800,34300,26800,34300
Bryan University: Rogers,Bryan University Rogers,Arkansas,AR,For Profit,2 Year,,10230,10230,10230,10230
Bryant University,Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675
Bryn Athyn College,Bryn Athyn College,Pennsylvania,PA,Private,4 Year,11886,22815,34701,22815,34701
Bryn Mawr College,Bryn Mawr College,Pennsylvania,PA,Private,4 Year,16500,52360,68860,52360,68860
Bucknell University,Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754
Bucks County Community College,Bucks County Community College,Pennsylvania,PA,Public,2 Year,1500,5660,7160,14660,16160
Buena Vista University,Buena Vista University,Iowa,IA,Private,4 Year,9538,34004,43542,34004,43542
Bunker Hill Community College,Bunker Hill Community College,Massachusetts,MA,Public,2 Year,,5580,5580,11760,11760
Butler Community College,Butler Community College,Kansas,KS,Public,2 Year,5950,3180,9130,5310,11260
Butler County Community College,Butler County Community College,Pennsylvania,PA,Public,2 Year,,4950,4950,10950,10950
Butler University,Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950
Butte College,Butte College,California,CA,Public,2 Year,,1498,1498,8518,8518
Cabarrus College of Health Sciences,Cabarrus College Health Sciences,North Carolina,NC,Private,4 Year,,13194,13194,13194,13194
Cabrillo College,Cabrillo College,California,CA,Public,2 Year,,1500,1500,9300,9300
